measure_id,measure_name,short_description,type_of_strategy_or_measure,quantified_objective,indicative_budget_and_sources_of_financing,bodies_responsible_for_implementation,estimated_impact,state_of_implementation,date_of_entry_into_force,implementation_period
AT_001,- Lower Austria Housing Development - Legal measures,"There are incentives to reduce life cycle greenhouse gas emissions both in the area of new building promotion and in the area of investment promotion (small and large-volume residential construction). In the new building, the funding points are linked to the OI3 index, in the Sanie rung, insulation measures with ecological and renewable insulation materials are promoted according to https://www.baubook.at/central/ with additional points. In implementation of Article 7(2) of Directive (EU) 2024/1275, Section 44(6) of the Lower Austrian Building Code 2014 as amended by LGBl. No 1/2016 stipulates that for new constructions of buildings with a usable area of more than 1000 m² from 1.1.2028 and for all new constructions of buildings from 1.1.2030, the life cycle global warming potential must be calculated and stated in the energy performance certificate.",Financial support measure,,Incremental contributions are paid out in the course of the normal new construction or sanitation subsidy. There is no specific budgetary framework for these measures.,"Department of Housing Promotion, F2",There should be a reduction in CO2 emissions in residential construction.,constantly,Housing promotion: 1.1.2006 with continuous development § 44(6) Lower Austrian Building Code: 29.5.2026,constantly
AT_002,A- and F-Course,Training for interested parties in the field of sustainable construction and construction of buildings. Basic course and deepening for building energy consultations with the goal nZEB.,Training or further education,,,Salzburg Administrative Academy / Energy consulting Salzburg,,,,several courses per year
AT_003,Access to public building data,"Digital offer such as heating compass, ZEUS customer portal",Information platform for end customers and professionals,,,Energy Consulting Salzburg / Office of the State Government of Salzburg Ref 4/04,,,,online on an ongoing basis
AT_004,Advice against energy poverty,"The goals of energy poverty counselling in Styria include the sustainable reduction of energy costs for low-income households through individual counselling, the detection of potential savings and the provision of free energy saving packages. In addition, the advice aims to increase overall energy efficiency, reduce the use of fossil fuels and thus contribute to the ""Steiermark 2030 plus Climate and Energy Strategy"". Link: https://www.wohnbau.steiermark.at",Climate and Energy Strategy Styria 2030 plus Link: https://www.technik.steiermark.at/cms/ziel/128523298/en/,"• Reducing energy costs: Supporting low-income households in reducing their current energy and heating costs. • Detection of potential savings: Identification of hidden power guzzlers and inefficiencies in the household through a free, individual on-site consultation. • Understandable information: explanation of unclear energy tariffs and bills as well as information about energy saving possibilities. • Emergency assistance: provision of emergency assistance in the event of acute financial shortages and imminent shutdowns, in part by Caritas. • Device and heating optimization: Mediation of measures such as the replacement of energy-intensive devices or the optimization of heating systems.","Department 15 Energy, Housing and Technology","A15 Energy, Housing, Technology - Department of Energy and Housing",Strengthening and supporting vulnerable households,constantly,constantly,constantly
AT_005,Advice and support,Market barriers and market failures are addressed through various advisory services and promotions. These have already been set out in point 3.,,,,,,,,
AT_006,Advice on thermal-energetic refurbishment measures,"Energieberatung Burgenland GmbH (EBB GmbH) is an independent consulting company that specializes in energy-efficient solutions for households, municipalities and small businesses. Through individual consultations, the company promotes awareness of sustainability and supports the implementation of energy efficiency measures. The energy advice is free of charge for all Burgenland residents and can take place either by telephone (energy advice hotline), in the energy advice centres, in the course of events, or directly at the property and can include the following: a) Comprehensive information and advice to all population groups in the form of events of an al ler kind as well as by issuing and disseminating information on the sensible use and production of energy; b) advice and information on energy saving measures with regard to the possible uses of energy-saving and climate-friendly technologies; c) Implementation of energy consulting services as outsourced consulting services in accordance with § 39(4) EEffG.",Awareness-raising and support,The aim is to help the people of Burgenland to achieve sustainable energy management and to support them in reducing their energy costs and at the same time making a contribution to climate protection.,,Energy consulting Burgenland,Increase in the thermal-energetic refurbishment rate in the building sector,constantly,,constantly
AT_007,Advice on thermal-energetic refurbishment measures,"With its own funding guideline, the Kärntner Wohnbauförde fuerg bundles several support measures that are intended to serve the sustainable development of housing. A separate funding under the title ""Bera tung in thermal-energetic refurbishment measures"" is intended to transport the advantages of thermal-energetic refurbishment for CO2 reduction. In the sense of this objective, in multi-storey residential construction (residential building with at least 3 apartments), tenants or owners are to be conveyed the advantageousness of thermally and energetically renovated building substance in the course of communication processes on the basis of the refurbishment concept, in order to support or shorten decision-making processes to achieve the majorities required for the implementation of refurbishment measures and to create an incentive for the implementation of refurbishment measures.",Financial support measures,,"For all funding under Directive 10, there is currently an approximate amount of EUR 1.5 million per year.","Department 11 - Social, housing & labour market",Increase in the thermal-energy renovation rate in multi-storey residential buildings,constantly,01.01.2018,current funding programme from 01.01.2025 to 31.12.2025
AT_008,Advice on thermal-energetic refurbishment measures,"In addition to the comprehensive advice and training offered by the Energy and Environment Agency Lower Austria for private individuals and municipalities, the Bauakademie Lower Austria also offers a training and further education programme for energy certificate issuers and professionals in the construction industry to increase energy efficiency.",,,,,,constantly,,
AT_009,Advisory and accompanying measures to create and secure a modern and affordable housing supply - Directive 10,"With its own funding guideline, the Kärntner Wohnbauförde fuerg bundles several support measures that are intended to serve the sustainable development of housing. Own support under the title ‘Reconstructing - Preservation of existing residential quarters’ is intended to strengthen the situation. Existing residential quarters of non-profit housing developers or municipalities whose life span is already more than 50 years are facing a modern redesign. This question must be answered with careful integration of energy (grey energy, consumption and mobility energy), material (raw materials and harmful substances) and social (affordable housing in demographic and social change, while preserving social fabric) sustainability. A separate guideline has been developed for dealing with existing quarters. On the basis of this, consulting services and accompanying measures are provided by authorised external companies or service providers.",Financial support measures,The aim is to ensure the best possible sustainable further development of buildings as part of reconstructing projects.,"For all funding under Directive 10, there is currently an approximate funding threshold of EUR 1.5 million per year.","Department 11 - Social, housing & labour market",A careful handling of the existing building stock or its further development and thus a reduction of environmental pollution due to new buildings.,constantly,01.01.2020,currently 01.01.2025 to 31.12.2025
AT_010,All public institutions and state of Salzburg,"legislative (implementation of EED III and Directive (EU) 2024/1275) in national law. Information events several times physically and as webinars, mailings, telephone, online and on-site advice for the 119 municipalities (individually and in workshops) on the necessary individual steps in the implementation of the objectives pursuant to Articles 5.6 and 7. At building level, advice is provided by Energieberatung Salzburg (Ref 4/04), at portfolio level by the Salzburger Institut für Raumordnung und Wohnen GmbH with a focus on achieving the requirements of the aforementioned guidelines.","economic, training, awareness-raising",,,"State of Salzburg: Office of the State Government of Salzburg - Department for Energy Economics and Consulting? SIR, EBS and USS in an advisory capacity to municipalities.","Achieve the savings targets according to the alternative approach in the inefficiencies test buildings by 2030 (worst 16%) in accordance with the requirements of Directive (EU) 2024/1275 and 3% area target, or alternative approach in the country and all 119 municipalities according to Art.6 EED III (EU 2023/1791)",continuously,continuously,continuously
AT_011,Awareness-raising campaigns and other advisory tools,"The Vorarlberg Energy Institute coordinates consultations for private individuals, companies and municipalities, and in some cases also carries out these consultations. The offer includes consultations on thermal management measures (building envelope), heating exchange (out of oil and gas), solar energy use (photovoltaics, solar thermal, storage, etc.) and special topics on the subject of building and sanie ren. See https://www.energieinstitut.at/private persons/energy providers. Housing promotion: Funded preliminary renovation consultation, renovation consultations as well as comprehensive consulting services of the Energy Institute. Planned introduction of a cooperation between the federal government and the state for refurbishment advice in the area of multi-apartment buildings.",,,,,,,,
