Type of Barrier,Barrier,Resulting From
Policy and Regulatory,Fragmented policy framework,"Overlaps among housing, energy, and social policies without a unified renovation roadmap."
Policy and Regulatory,Lack of interest on the part of building decision-makers in financial instruments,Grant culture with 100% grants in prior renovation programs discourages use of financial instruments
Policy and Regulatory,Limited building stock data,"No detailed segmentation by type, age, and performance of single-family homes."
Policy and Regulatory,Limited building-code enforcement,Energy performance standards are poorly enforced for existing homes.
Policy and Regulatory,No regulations regarding banning the use of wood or coal as heating fuel,"Many SFH use wood or coal fuel for heating. It is desirable to substitute these polluting fuels with environment-friendly alternatives but there are no financial incentives for owners of SFH to make such substitution."
Policy and Regulatory,Lack of delivery mechanisms for scaling up,There are no formal programs addressing large-scale renovation of single family residential buildings
Institutional,Weak local implementation capacity,Many municipalities lack staff and technical expertise to assist homeowners.
Institutional,Limited coordination among ministries,"Housing, energy, and finance ministries operate separately with limited coordination"
Institutional,Limited willingness and capacities of homeowners to engage in renovation projects,"Limited borrowing capacity, lack of awareness on the benefits of EE and limited number of success stories"
Institutional,Limited technical advice and project support,Few advisory services for households on design and financing.
Financial,High upfront investment cost for building renovation,Renovation costs are expensive relative to average household incomes
Financial,Limited access to affordable loans,Few banks offer suitable credit lines with affordable financing terms for homeowners or low-income groups.
Financial,High transaction costs,"Banks require the borrowers to develop a baseline and prove that minimum efficiency requirements have been met. The costs of these activities result in high transaction costs, as well time and effort commitment, and deters SFH owners from seeking bank loans."
Financial,Split incentives,Owners and tenants have different incentives
Financial,Energy poverty,Vulnerable and low-income groups cannot afford to repay renovation loans.
Market Capacity,Shortage of qualified contractors,Skilled labor scarce in rural areas; most firms focus on shallow renovations.
Market Capacity,Limited QA/QC of renovation work,Some renovation projects are poorly executed
