measure_id,measure_name,objective,type_of_policy_or_measure,planned_budget_and_sources,entities_responsible,state_of_execution,date_of_entry_into_force,implementation_period
M19.1,"Amendments to the rules on the energy performance of buildings (PURES update)","Updating the Rules on Energy Efficiency in Buildings (PURES) in line with the Energy Performance of Buildings Directive (EPBD). Details are regulated by the DSEPS.",legislation,"Not specified - regulatory measure","MNVP, MOPE",Under development,2026,2026
M19.2,"Renovation of cultural heritage buildings and other specific groups","Guidelines for targeted funding to be drawn up for comprehensive renovation of cultural heritage buildings. Analyses of the necessary additional or adapted funding for the deep renovation of cultural heritage buildings. This includes: an analysis of the energy renovations carried out in terms of energy savings, investment, financial construction, etc., the development of criteria for determining the eligible costs for the energy renovation of these groups of buildings and their integration into all support instruments, provision of cohesion funding tailored to these target groups (for example also in separate calls) and the Climate Fund. Setting-up of information points for deep renovation of cultural heritage buildings (energy and material efficiency). Update the Guidelines for the Renovation of Cultural Heritage Buildings and accordingly refurbishment of cultural inheritances take into account, mutatis mutandis, the measures set out in the DSEPS for improvement of energy effectiveness and results of the CDE under preparation (methodology and orientations for the placement of photovoltaic installations on facilities in settlement heritage areas and others).",legislation,"Cohesion funding and Climate Fund","MK, MOPE, MKRR",Under development,2025-2026,2025-2026
M19.3,"Energy Contracts (EPO) and related financial instruments","Continue the development and implementation of existing financial instruments and funding models: design relevant financial instruments for EPO service providers (guarantees, recoupment of investment through energy efficiency service bills, financing through a combination of grants and private funds/financial instruments, including financing of technical project preparation, provision of concessional credit, implementation of the EPO in the context of public procurement), support development of EPOs suitable supporting measures; for example training, additional professional and technical assistance for project preparation, programme for provisioning quality of EPO projects, preparation of tools for extend the public sector instrument to other sectors, in particular housing; establish a mechanism to encourage the emergence of energy service companies, with particular attention to small and medium-sized enterprises.",set of instruments: economic (financial),"Not specified - financial instruments","MOPE, MKRR, SMES; Eco Fund, SID Bank",Under development,2026,2025-2026
M19.4,"Transition to deep building renovations and sustainable valuation","Creation of an appropriate regulatory environment for the sustainable valuation of buildings (creation of system, scheme certification, training, system maintenance, financing). Preparation substrates for promotion and financing sustainable renovation (which, in addition to energy renovation, also take into account all other relevant building renovation criteria: seismic and fire safety; radon problem, installation of wood and others sustainable materials). Carry out sample projects of deep renovation of public buildings. Develop a sustainable building renovation plan that focuses on deep building renovation and takes into account all aspects of renovation (energy, seismic, cultural heritage and others). The plan shall be developed separately for the residential and non-residential sectors and shall include an analysis of the technical potential for renovation with a view to achieving binding climate targets. Implementation of the building badge in accordance with EPBD requirements. Develop a plan for financing deep building renovation that addresses the financial aspect of deep renovation and seeks additional funding sources and proposes new financial instruments. Develop a regulation in the area of integrated building renovation that addresses the problem in a systemic way and builds on previous expert bases.",legislation,"Not specified","MOPE, MNVP, SMEs, Eco Fund",Under development,2025-2029,2025-2029
M19.5,"Financial incentives for EE and RES in residential buildings","Establishment of a financial plan for the promotion of measures in households, including the establishment of resources financing; incentive mechanisms and measures for disposal of key barriers; and organisation of promotion and providing one-stop-shop assistance. Consideration shall be given to promoting a gradually comprehensive renovations and amendment of the award of grants according to the specifics of each household (property status, etc.). Provision of incentives for preparation of projects in the residential sector (by incentivising applications for EU institutions' technical assistance calls or with a domestic scheme). Implementation of demonstration projects; in this context, start as soon as possible the implementation of integrated energy renovation projects for multi-apartment buildings according to the NZEB criteria foreseen for co-financing under the EPC OP. Development of financial incentive instruments for the implementation of investments in energy efficiency, reduction of energy end-use and RES supply in accordance with the DSEPS. Within the framework of the functioning of the Eco Fund: ensure as much as possible more evenly, and targeted implementation of the planned measures on an adequate scale; simplify the administrative procedures for granting incentives, including by digitalising operations; identify and respond to other obstacles to increasing the implementation of measures in households (e.g. the size of the incentive); analyse the potential for EE and RES measures achievable through incentive mechanisms in this sector, develop and prepare new ones in cooperation with MOPE financial instruments for housing sector; targeting incentives in relation to specific individual incentives for heating in RES are not split in DHS areas), total Z local energy agencies (LEA) and ENSVET to develop new business models for the deep renovation of residential buildings, such as the deep renovation of neighbourhoods; ensure, together with Borzen, a coordinated and targeted targeted awareness raising and information on energy efficiency and the planning. Ensure that the Eco Fund incentives are also better targeted towards achieving the RES target share, thereby securing additional heat and cold production from RES in the residential sector in line with the RES objectives.",planning,"PEKP 2021-2027, Climate Fund, URE contribution","MOPE, Eco Fund",Under development,2025-2026,2025-2026
M19.6,"Instruments for financing renovation of multiowner buildings","Continue and build on the implementation of the Facility (including through the LIFE IP Care4Climate project): develop and adopt the legislative framework for the implementation of the instrument; consider and develop measures based on the Resolution on the National Housing Programme for encouragement of comprehensive renovation of multi-apartment buildings; provide additional grants in a combination of different financial instruments to implement deep building renovations. Explore and implement in practice, in the form of public calls, new ways of funding renovation of multi-apartment buildings in the form of guarantee schemes and the like.",economic, regulatory,"Not specified","Eco Fund, MOPE, MKRR, SME",Under development,2026,2024-2026
M19.7,"Mandatory division and calculation of heat costs in multi-apartment buildings","Continuation of the implementation of the Facility. In 2025, the need for updates shall be checked and appropriate procedures shall be carried out in accordance with the findings.",legislation,"Not specified - regulatory measure","MOPE, SMES",Under development,2025,2025
M19.8,"Energy Advisory Network – ENSVET","Continue and build on the implementation of the Facility. Developing the DSEPS scope instrument and strengthening action nets ENSVET, including the expansion of business advice.",information and awareness raising,"Not specified","MOPE, Eco Fund",Under development,2027,2027
M19.9,"Household EE grant schemes and green loans","The continuation of the implementation of the Facility; and Establishment of new financial instruments.",economic,"Not specified","Eco Fund, MOPE",Under development,2025,2025
M19.10,"Split incentives between owners and tenants","Explore possible solutions to establish an instrument in the housing, public and services sectors.",incentives,"Not specified","MOPE, SME",Under development,2025,2025
