Type of Barrier,Barrier,Resulting From
Policy and Regulatory,Lack of interest on the part of building decision-makers in financial instruments,Grant culture with 100% grants in prior renovation programs discourages use of financial instruments
Policy and Regulatory,Restrictive budgeting policies,"Lack of multi-year budgeting, restrictions of retention of cost savings, limitations on using operating savings for capital expenses"
Policy and Regulatory,Complex and inefficient procurement regulations,Lengthy approval chains and rigid procurement procedures as well as requirements for lowest up-front cost are unfavorable to energy-efficient renovation projects
Policy and Regulatory,Limited options for performance-based contracting,Existing regulations limit contract length and therefore the ability of ESCOs to engage in performance contracts with public agencies
Institutional,Limited capacity for project implementation in municipalities and central government agencies,Many municipalities and central government agencies do not have capable staff that have adequate skills and capabilities to prepare and manage building renovation projects.
Institutional,High investment needed to provide adequate comfort levels,"Many public buildings are insufficiently heated, and additional investments are needed to bring them to standard comfort levels."
Financial,Borrowing limits,"Municipalities have limits on borrowing and are often already at their borrowing limits. If the renovation project requires debt financing many municipalities are unable to acquire the debt"
Financial,Lack of ability to provide collateral,Public agencies generally unable to provide adequate collateral for bank loans
Financial,Limited creditworthiness of public agencies,Many municipalities and some central agencies are unable to meet the financial institutions credit criteria
Market Capacity,Limited interest and capacity of ESCOs to engage with public agencies,"Inadequate regulatory framework limits ESCO contracting with public agencies. Also, issues related to risk of non-payment deters ESCOs."
Market Capacity,Lack of standard tools and templates,There are no standard tools and templates for contracts between public agencies and renovation contractors or ESCOs
