"measure_category","measure_id","measure_name","description","quantified_objectives","type_of_policy_or_measure","budget","stakeholders","state_of_play","implementation_period"
"Governing and steering the renovation strategy","M1","Measure 1 - Strengthen communication on renovation obligations and opportunities","Faced with the challenges of legibility, fair access to information and
mobilisation of all renovation stakeholders in Wallonia, the measure aims to set
up a centralised communication dedicated to information and activation for
renovation. This unified communication must centralise content, make users’
journeys clear and consistent, and support the action of field relays. It targets
both the residential sector and the non-residential, private and public sector
(municipalities, CPAS, etc.), as well as professional actors in renovation.
This measure constitutes a transversal axis of the Renovation Plan, at the service
of the legibility of legislative and organizational reforms. Its objective is to
create a unified, proactive and continuous communication strategy, enabling
both:
•
Strengthen understanding of obligations;
•
encourage mobilisation towards support schemes;
•
Encourage changes in behaviour related to the energy use of housing.
Specifically, the measure provides for:
•
Harmonisation and updating of information on energy renovation in
Wallonia (financial support, support, EPB standards) on a unified
portal, interoperable with the sites of the SPW and the other
administrations concerned;
•
Providing accessibledecision support tools: decision tree pointing to
the right device, global housing cost simulator, plain language content;
•
Activation of key moments in the life of the building (purchase,
inheritance, rental) by means of communication kits and a proactive
strategy for professional actors (architects, contractors, etc.).
The strategy will combine the direct dissemination of information and its
increased visibility in the spaces frequented by the target audiences.
Finally, continuous campaigns will highlight the co-benefits of renovation
(comfort, health, heritage value, economies, climate), supported by credible
feedback to stimulate demand.","- ≥ 50 % awareness of the device in 2029
- ≥ 200 000 visits/month to the portal.
- 100% of regional sites related to energy renovation
harmonised (financial support, accompaniments, EPB standards) in
2028","Awareness","- Single portal and digital tools: €€€€
- Media campaigns and content: €€€
- Kits & animation of relays: €€ €€","SPW TLPE, one-stop shops, SWCS ACER actors","In preparation","2026–2050"
"Governing and steering the renovation strategy","M2","Measure 2 - Consolidate a centralised database on the energy performance of buildings","Precise knowledge of the building stock is the condition for effectively steering
the renovation policy and ensuring compliance with the obligations set by the
European Directive EPB 2024/1275. However, in Wallonia, information on
buildings is now scattered among several registers (cadastre, EPB, audits,
permits, financial aid, municipal data), without interconnection or consolidated
vision. This fragmentation makes it impossible to reliably assess the state of
the building, the level of energy performance achieved and the monitoring of
renovations.
The consolidation of a centralised database addresses this strategic challenge.
This database will be linked to the building passport. It will make it possible to
identify all non-residential dwellings and buildings, to associate each of them
with a unique identifier and to link all available administrative, technical and
energy information to it. The automatic cross-breeding between EPB
certificates and rightholders in rem will ensure the traceability of the park and
will form the basis for the implementation and control of the renovation
obligations. This database will become the unique repository of the Walloon
building stock. It will prioritise the integration of EPB certificates, audits and
HVAC inspection reports.
The tool will enable the Region to ensure:
1. A comprehensive and dynamic view of the state of Walloon buildings
2. Automatic identification of uncertified or non-compliant units
3. Monitoring compliance with obligations and renovation trajectories
4. And a harmonised transmission of data to the European Commission
By ensuring consistency, security and continuous updating of data, this
database will be a key lever for energy planning, administrative transparency
and public policy impact assessment. Ultimately, it will allow Wallonia to have
a complete and dynamic energy mapping of buildings, a prerequisite for
achieving the decarbonisation of the park by 2050.","- Implementation of a centralised database in 2028
- Set up automatic tracking of non-EPB units and their rightholders in
rem by 2032.
- Notify 100% of affected homeowners at least 3 years before the
renovation obligation deadlines.","Legislative, Regulatory, Economic","- Technical design, interoperability and security €€€
- Management cost €€€","SPW TLPE, Walloon Government","In preparation","2024-2035"
"Governing and steering the renovation strategy","M3","Measure 3 - Establish an observatory for renovation and building trades","Wallonia has many sources of data on renovation and employment in the
building sector, but these are fragmented and incompletely exploited. While
the centralised database on the energy performance of buildings will provide
the technical basis for collection and harmonisation, there is currently a lack of
a tool capable of transforming this information into reliable indicators,
forward-looking analyses and strategic steering tools.
The EPBD 2024/1275 requires structured monitoring: renovation rate and
depth, actual performance, availability of skilled labour. The accumulated
delays in the objectification of renovations and occupations create a risk of
European non-compliance and reduce the credibility of Walloon policies. In
addition, the actors in the sector (companies, federations, training bodies) lack
visibility on future needs, which complicates planning.
The observatory will have a dual role:
1. Renovation: use data from the centralised database, permits, financial
support, audits, to measure the pace and depth of renovations, verify
the actual efficiency (before/after works) and monitor the impact of
regional policies.
2. On the trades: collect and cross-reference data from Statbel,
FOREM, IFAPME, Embuild, in order to identify critical jobs,
anticipate needs, adjust training policies and support sectors.
3. Materials: using the data from fiche measure 16 to monitor the
development of local and circular sectors (share of local materials,
available EPDs, rates of circular public procurement, technological
maturity).
The observatory will also be an instrument of transparency: a public scoreboard
will present key indicators to citizens, municipalities and businesses, while
more detailed reports will guide policy-makers.","- Observatory operational in 2029, first report published in 2030
- Produce an indicator of the rate of deep renovation and the average
label of the park as early as 2028
- Tracking critical workforce and business needs
- Cover 80% of relevant administrative data in the analysis by 2030.","Legislative, Economic, Awareness","- Technical set-up of the observatory: €€
- Annual operation (analyses, publications, surveys): €
- Prospective studies (jobs, industrial sectors): €
- Communication and public scoreboard: €","SPW, IWEPS, CEHD, FOREM and IFAPME, Embuild, Statbel, GRD,
communes and intercommunales","In preparation","[2026-2035 ]"
"Governing and steering the renovation strategy","M4","Measure 4 - Simplification of administrative procedures","Administrative procedures are now one of the main obstacles to energy
renovation. Planning permit procedures, designed for construction projects, are
often disproportionate for simple renovation works. Forms are still complex
and requirements vary from municipality to municipality. Households also face
difficulties related to the management of impetants, property constraints or
encroachments on roads. These cumulative factors cause many project delays
and abandonments, and fuel a sense of inequality in the face of perceived
inconsistent and unreadable rules.
Administrative simplification is therefore a major lever to trigger a renovation
dynamic. It is based on three pillars: lighten and clarify permit applications,
harmonise and digitalise procedures, and strengthen support for citizens by
municipalities and professionals. The aim is to make the procedures
proportionate, legible and fast, while maintaining quality and durability
requirements for the work carried out.","- 100% of planning permits introduced from 2028 will be
digitalized
- 80% of renovation permits introduced digitally by 2030.
- 25% reduction of supporting documents in energy renovation files by
2030.","Legislative, Regulatory","- Development of a single digital platform: €€€
- Production of municipal maps: €€€€
- Revision and simplification of the forms: €€ €€
- Training and tools for municipalities: €€ €€
- Technical studies (alternative solutions, architectural quality guides):
€€ €€","SPW TLPE, UVCW and communes, Order of Architects, professional
federations","In preparation","2026-2035"
"Establishing a structuring regulatory framework","M5","Measure 5 - Evolve the Housing audit tool","The Housing of Buildings audit is an essential step in the renovation process:
it makes it possible to identify the most relevant works, plan their sequence and
direct owners to the appropriate support devices.
Complementary to the EPB+ certificate, whose main function is to assess
energy performance to allow comparison between goods and to provide
information on the overall scope of work to be considered, the audit stands out
as an operational and personalised advisory tool. Focused on the building and
its occupants, it takes into account the project for the development of the
property and must guide owners towards renovations that are coherent,
technically viable and compatible with the 2050 decarbonisation objectives.
The audits will also inform households about future regulatory requirements
(MEPS, fossil fuel exit) and identify mobilizable financing, to provide a clear
view of obligations and opportunities.
Today, the housing audit already makes it possible to clarify the stages of work,
but it must evolve to meet the challenges of the massive renovation of the built
stock. It is expected to become the obligatory passage of any project supported
by public aid, by proposing a clear roadmap towards deep renovation. It will
also have to be designed to be directly usable as part of the future building
passport. Finally, the audit must broaden its scope of analysis by integrating
health, safety, summer comfort and indoor air quality aspects, in order to
provide a comprehensive response to housing challenges. Its accessibility will
have to be guaranteed for vulnerable households, via appropriate public care.","- Condition access to public financial support to a prior audit/expertise
report in 2027
- Double the annual number of housing audits carried out by 2030
compared to 2024 (40,000 audits/year)
- Ensuring audit accessibility for precarious households from 2027","Regulatory, Training, Awareness","- Subsidisation of audits for precarious households: €€€€
- Training and quality control of auditors: €€€€","- SPW TLPE, Network of Accredited Housing Auditors, Points of Single
Contact, SWCS, FLW","In preparation","2026-2030"
"Establishing a structuring regulatory framework","M6","Measure 6 - Evolving EPB tools","The EPB tools are a central pillar of Walloon energy policy. They assess,
compare and certify the energy performance of buildings, while guiding
renovation choices and monitoring progress. However, recent developments in
the European framework, the regional ambition to massively renovate and the
gradual introduction of renovation obligations require a modernisation of this
ecosystem.
This reform aims to adapt the EPB tools to the new requirements of the
European Directive 2024/1275, to simplify their use for citizens and
professionals, and to ensure the reliability of data. It is based on three
principles:
1. Simplification and consistency: Merge existing calculation methods
(new buildings, existing buildings, audits) into a unified and legible
method based on the harmonised European scale of energy classes
2. Professionalisation and monitoring: Strengthen the quality of the
work of certifiers and auditors, harmonise their profiles and training,
and make certificates issued by increased and systematic control more
reliable
3. Integration and transparency - Connecting EPB tools with digital

platforms for renovation and financial support, while providing citizens with
Description of the
enriched certificates (EPB+) and a digital building passport, the basis for
measurement
future renovation monitoring.
The EPB certificate will become a planning and decision support tool, capable
of automatically generating a renovation trajectory aligned with regional
obligations. The building passport, on the other hand, will offer a consolidated
and up-to-date view of the state of a dwelling, integrating administrative,
energy and technical information into a single interface.
Finally, the reform aims to reduce the gap between theoretical and actual
performance, strengthen public confidence in the certificates issued and ensure
a consistent use of these tools as a basis for regional renovation planning. It is
thus a decisive step towards achieving the objectives of carbon neutrality and
transparency set by Wallonia.
bonus schemes, becoming a pivotal document between the citizen and the
administration. In line with the new European requirements, the certificate will
also include information on indoor air quality, summer comfort and reduction
of operational GHG emissions, in order to become a more comprehensive
decision support tool.
Action 3: Deploy and test the building passport [2025– 2027]
The building passport will consist of a digital register accessible in a unique
and secure way to property owners (houses in the first instance) in Wallonia.
In its first version, it will provide access to and centralise all the administrative
and energy data of a property.
It will make it possible to deposit and organise documents relevant to the
management of a building, or to encode the work and maintenance carried out
and to attach the corresponding certificates. The aim is to enable the owner to
follow the building throughout its life cycle, improve traceability and facilitate
the transmission of information when changing properties. The passport will
better take into account the renovations already carried out. It will evolve
gradually to integrate other regional databases (financial support, permits),
other types of buildings (apartments, non-residential) and will be an essential
tool for the massification of renovations.
Action 4: Simplifying the landscape of EPB actors [2024–2029]
The current system is based on three distinct profiles (certificator, auditor, EPB
manager), resulting in perceived complexity for homeowners (residential / non-
residential) and burdensome for professionals. The action aims to simplify this
landscape, either by creating a single profile or by clarifying two separate
profiles (EPB certificate and designer). The reform will involve adapting the
accreditation conditions, harmonising training and improving fluidity between
roles. The aim is to reduce the number of people speaking to citizens, while
ensuring a high level of competence and increasing trust in the system. This
action is part of a logic of efficiency and rationalisation of the market.
Action 5: Reinforcing the training of professionals [2025–2035]
The credibility of the EPB system depends heavily on the quality of the
certifying staff's work. There is sometimes a lack of quality in the EPB
certificates issued: Encoding errors, diverging interpretations, etc. This action
foresees adapting the initial and continuous trainings to integrate more practice,
modules on frequent errors, case law and behaviour to be adopted in case of
difficulty with the applicant for the EPB certificate.
Action 6 : Strengthening quality control [2024-2040]
In the ev ent of non-compliance, the penalties will be tightened for
wrongful certifiers (temporary suspensions, administrative fines). Ultimately,
this professionalisation aims to improve the reproducibility of certificates,
reduce deviations and ensure the reliability of the tool, which is a key element
to ensure the consistency of renovation obligations. Consistent with European
requirements, control systems should include random sampling, on-site visits,
and aim for 90% compliance of certificates issued.
Action 7: Merging digital tools and ensuring their interoperability [2030-
2032]
Currently, two main software packages (PEB and PACE) coexist, with separate
databases for the new and existing ones. The TOTEM software is added to
them for environmental impact analysis. This leads to redundancies,
maintenance costs and loss of efficiency. The action plans to develop a single
tool based on the integrated methodology, which will bring together all the
functions necessary for the certification, audit and monitoring of buildings.
This tool will be designed to be interoperable with renovation platforms and
energy windows, in order to provide a central digital window for citizens and
professionals
Action 8: Enhancing communication with citizens and stakeholders [2026–
2028]
Better communication is essential to improve the acceptance and understanding
of the EPB certificate. The action foresees a broad campaign focusing on the
importance of certification and preparing the visit of the certifier (acceptable
evidence, necessary documents). In parallel, targeted communications will be
organised to certifyers to remind them of obligations, frequent errors and
penalties incurred in the event of fraud. This action also includes a
popularisation component to explain the logic of the renovation obligation and
its timing, in order to limit social resistance.
Action 9: Mandating post-work certification for publicly supported
renovations [2026–2028]
As provided for in the Comprehensive Renovation Support Scheme, any
publicly funded renovation will be followed by mandatory certification, in
order to verify the actual achievement of the energy targets. This obligation
will enhance the credibility of the system and allow accurate statistical
monitoring of actual gains. For precarious households, the cost of certification
may be borne in whole or in part by the public authorities, so as not to create a
financial barrier. The action will feed the regional databases with reliable data,
useful both for political steering and for monitoring European commitments.
Action 10: Reducing the gap between theoretical and actual consumption
[2026–2029]
The EPB certificate remains today based on a standardised theoretical
consumption, which often differs from the actual consumption observed, due
to the behaviour of the occupants, less comfort provided in an energy-efficient
housing, the use of technical systems or defects in the implementation of the
works. Although the purpose of the EPB certificate is not to estimate actual
consumption – but rather to be able to compare the energy status of dwellings
among themselves, this gap reduces the credibility of the tool with the general
public. The aim of the action is to provide for a reform of the EPB in order to
aim for a gradual reconciliation between theoretical and actual data, for
example by reviewing the meteorological data under consideration or the
default wall values.","- Have a single EPB calculation method for residential: 2029
- Make the PEB+ certificate operational in 2026
- Reduce variations between certifiers by 50%
- In 2028, increase by 30% the number of checks on EPB certificates
carried out annually compared to 2025
- Ensure that 100% of the supported renovations are followed by post-
work certification in 2027
- 90% compliance of certificates checked in 2030
-","","- Development of new tools: €€€
- Support for the financing of post-work residential EPB certificates
for the most vulnerable: €€ €€
- Reinforcement of control: €€€€
-","- SPW TLPE, EPB actors (certificators, auditors, EPB managers), Energy
Window and Renovation Platforms","In preparation","[2025–2040]"
"Establishing a structuring regulatory framework","M7","Measure 7 - Introduce a renovation obligation for non-residential buildings","The Walloon non-residential sector accounts for almost 30% of the total final
energy consumption of the building stock, with a significant diversity of uses:
offices, shops, healthcare facilities, educational buildings, hotels, cultural and
sports facilities. A significant part of this stock remains today highly energy-
intensive, often ageing, and dependent on fossil fuels.
To date, there is no comprehensive and harmonised tool to assess the energy
performance of the entire private non-residential stock. The residential has an
EPB certificate based on theoretical consumption, while public buildings are
certified based on actual consumption. This methodological heterogeneity
hampers the planning, monitoring and identification of priority buildings to be
renovated.
EU Directive 2024/1275 introduces for the first time minimum energy
performance standards (MEPS) for all non-residential buildings. Member
States must ensure that
•
Reduce the share of the most energy-intensive buildings by 16% by
2030;

•
Then by 26% by 2033;
Description of the
measure
This obligation entails a profound transformation of the Walloon framework:
definition of a common assessment methodology, establishment of a
comprehensive register of non-residential stock, adoption of progressive
regulatory thresholds and creation of a sectoral support system.
The measure is therefore structured around four axes:
1. Knowledge and classification of the fleet, via a unified assessment
tool and a centralised database
2. Regulatory framework, with performance thresholds, a system of
exemptions and gradual obligations
3. Technical and financial support, adapted to the specificities of the
non-residential sector (offices, SMEs, shops, etc.)
4. Transparency and monitoring, through mandatory posting and a
system of dissuasive sanctions.
This step-by-step approach will align Wallonia with the European calendar,
while creating the conditions for an orderly transition to a well-functioning,
sustainable and competitive non-residential stock.
Owners of buildings above these thresholds will have to undertake energy
renovations, with an obligation to present an up-to-date certificate or a
certificate of work carried out. This regulation will be accompanied by a
sectoral information campaign to anticipate deadlines.
Action 5: Provide for an exemption scheme for renovation obligations
[2026]
In accordance with the Directive, certain categories may be exempted
(classified heritage, places of worship, small buildings < 50 m2, temporary
use). The criteria must be public, precise and circumscribed. Compensation
mechanisms for large assemblies will be put in place to avoid any loss of
overall impact.
Action 6: Setting up a support system [2030–2040]
Specific technical and financial support for the non-residential sector will be
developed: one-stop shops, SME-friendly and self-employed aid, third-party
investment for supermarkets, cost-sharing mechanisms for commercial co-
ownership.
Action 7: Start control and display [2027–2033]
The buildings subject to the obligation will have to prove their compliance with
an updated EPB certificate. Visibly displaying performance remains applicable
for buildings receiving the public, increasing market pressure to incentivise
renovation. A system of regular notifications will be provided to remind
owners of deadlines.
Action 8: Implement monitoring and sanctions [2030–2033]
A register of non-compliant buildings will be created. Sanctions will include
fines proportional to the size and degree of exceedance, the limitation of certain
activities (e.g. via a ban on renting non-compliant spaces).
Action 9: Programme and inform on next steps [2026– 2050]
As early as 2026, the thresholds for 2040 will have to be defined and published
in order to provide visibility to investors and property managers. These
milestones will make it possible to plan a gradual trajectory towards a quasi-
zero energy non-residential fleet in 2040 and zero emissions in 2050. This
predictability will support deep renovations from the first intervention, in order
to avoid additional costs related to successive renovations.","- Define and develop a performance assessment tool for non-
residential buildings operational in 2029
- 100% of non-residential stock must be certified by 2030 with
interim target of 75% by 2028Ensure compliance of the most energy-
intensive 16% by 2030 and 26% by 2033, as well as compliance with
the 2040 and 2050 targets.
-","Legislative, Regulatory","- Methodological and IT developments: €€€€
- Development of the centralised database: €€€€","SPW TLPE, Walloon Government","In preparation","2026-2050"
"Establishing a structuring regulatory framework","M8","Measure 8 - Introduce a progressive renovation obligation for the residential stock","As the current pace of renovations is not sufficient, and the existing incentive
frameworks have not had the expected impact, the European Commission has
introduced, through the EPBD 2024/1275, the obligation for Member States to
set binding control points for the energy performance of buildings. Neighbouring
countries and other Belgian regions have already followed suit: in Flanders, since
2023, a new owner must achieve at least the D label within 5 years of a purchase;
in the Brussels Region, all dwellings must have an E label at least in 2033 and at
least C in 2045; in France and the Netherlands, the rental bans on dwellings G
and F have been applied gradually since 2024.
Wallonia is part of this movement as part of its 2023 Walloon Energy Climate
Plan, taking into account the reality of its built stock and the capacities of its
owners. The agreed strategic document provides for the establishment of a clear
schedule of obligations: with gradual bans on worst-performing labels when
changing ownership, and achieving the decarbonised A label on average by 2050.
The aim is to provide a predictable trajectory for households and the sector, while
avoiding technical lock-ins and social divides, through targeted accompanying
measures.
Two distinct mechanisms have been defined: one triggered by the transfer of the
property, the other concerning the possession of an existing dwelling.
Obligation related to change of ownership (Sale)","- 100% of dwellings with a valid EPB certificate by 2030.
- Regulation of renovation obligations adopted in a legislative text in 2026
- At least 55% of efficiency gains from the 43% most energy-intensive
housing.
- 16% reduction in average primary energy consumption in 2030
compared to 2020
- 20% reduction in average primary energy consumption in 2035
compared to 2020
-","Legislative, Regulatory, Economic","- Deployment of the EPB certificate: €€€€
- Communication and awareness-raising campaigns: €€€€
- Control and monitoring of requirements: €€€€
-","SPW TLPE, Walloon Government","In preparation","2026-2050"
"Establishing a structuring regulatory framework","M9","Measure 9 - Put in place a strategy to limit the rebound effect","Energy renovation – be it the insulation of buildings or the replacement of
heating systems – is not an end in itself. Above all, it aims to reduce energy
consumption and, above all, greenhouse gas emissions on a sustainable basis.
However, several studies highlight the existence of a ‘rebound effect’: a share
of the expected savings is offset by an increased search for comfort (higher
indoor temperature, intensive use of equipment) or by inadequate use of
technical systems (heating, ventilation, home automation). In Wallonia, as
elsewhere, this effect can reach a significant percentage of the real gains
reflected in the theoretical gains, thus reducing the real effectiveness of public
policies and jeopardising the achievement of climate objectives. However, it is
essential to distinguish between situations. In some cases, in particular for
households in energy poverty, the increase in consumption observed
corresponds to a necessary improvement in basic comfort (temperature finally
adequate, proper ventilation). That ‘social rebound’ must be regarded as
positive and legitimate, since it contributes to improving health and quality of
life.
The EPBD 2024/1275 stresses the need to assess the actual performance after
renovation and to support users in the use of their buildings. It also highlights
the importance of monitoring and maintaining installations, as well as
transparency vis-à-vis occupants and authorities. Without an appropriate
strategy, there is a risk that citizens and investors will lose confidence in the
very interest of the renovation.
To limit the rebound effect, the Walloon strategy must rely on several
complementary levers: quality control of works, performance commitments of
professionals, systematic monitoring of real consumption, training and support
of users after works. It must also provide for structured feedback in order to
gradually improve the practices of the sector and better enhance the central
role of occupants in the success of the energy transition.","- Explore the possibility of integrating post-renovationconsumption
monitoring for projects receiving public financial support as early as
2029.
- Train and support at least 10,000 renovating households by 2035 on
the optimal use of their homes.","Regulatory, Training, Awareness","- Adaptation of public financial support schemes for a network of post-
renovation coordinators/accompaniors: €€€€
- Development of monitoring tools (digital platforms, smart meters,
applications): €€ €€","SPW TLPE, CEHD, auditors, SWL, AIS, training organisations and professional
federations, GRD and suppliers","In preparation","2027-2035"
"Decarbonising heat and strengthening local planning","M10","Measure 10 - Developing heat and cold plans at the local level","The decarbonisation of heating and cooling is one of the major challenges of
the Walloon energy transition. It requires clear and coordinated technological
choices at neighbourhood level to ensure coherence between energy planning,
building renovation and spatial planning.
Depending on the density and urban morphology, different solutions can be
used: low or medium temperature heat networks, individual or collective heat
pumps, waste heat recovery (industry, data centres, treatment plants), shallow
geothermal, solar thermal, passive cooling solutions, etc.
Local heating and cooling plans (LCCPs), introduced by Article 25 of the
Energy Efficiency Directive (EU) 2023/1791, provide the methodological
framework for such planning. They make it possible to map energy needs and
potentials at municipal level , and locally translate the regional intervector
vision, ensuring the alignment of local renovation and development policies.
The measure aims to steer public and private investment towards no-regret
solutions, reduce systemic costs and ensure long-term optimisation of energy
infrastructure. The PLCFs will strengthen the capacity of municipalities to plan
and manage the energy transition in their territory, providing them with a
common methodology, standardised analysis tools, and structured regional
support for the preparation and implementation of the plans.
In addition, the PLCFs will serve as a lever for consistency and visibility:
•
They will facilitate the integration of energy priorities into planning
documents (schemas, BCPs, permits).
•
They will support proactive communication to households and
businesses, through neighbourhood maps, technology orientation
simulators and clear messages on bonds and available support.
By combining territorial energy planning, municipal tools and public
information, local heating and cooling plans will become a structuring
instrument of the Renovation Plan, ensuring coherent technical and economic
choices, increased collective efficiency and a fair transition at local level.","- The regional framework and methodology for local heating and cooling
plans are published, and the Municipal Support Cell is operational by
2026.","Legislative, Economic, Training, Awareness","- Methodology, tools and heat/cold cadastre: €€ €€
- Support cell and strengthening of municipalities
(assistance/training): €€ €€
- Studies and pre-development (feasibility, business models,
consultation): €€ €€
- Investment aid for first networks/pilots: €€€","SPW TLPE; municipalities and inter-municipal associations; system operators
(elec/gas/heat); heat/cold operators; public housing companies (SWL, AIS);
promoters/developers; professional federations; universities/research centres.","In preparation","[2026-2035]"
