Type of Barrier,Barrier,Resulting From
Policy and Regulatory,Lack of interest on the part of building decision-makers in financial instruments,Grant culture with 100% grants in prior renovation programs discourages use of financial instruments
Policy and Regulatory,Weak enforcement of building codes,Limits the interest of commercial building owners in renovation
Institutional,Lack of incentives or technical assistance,"There are few incentives or technical assistance programs to help energy auditing, identification of energy efficiency opportunities, and preparation of financing applications"
Institutional,Weak local implementation capacity,Many municipalities lack staff and technical expertise to assist homeowners.
Institutional,Low interest in energy efficiency,Most commercial business owners or managers are concerned with and emphasize activities related to their main business functions. Improving energy efficiency is not a high priority
Institutional,Limited information on available programs and funds,"Information on currently available financing and incentive programs for renovation of commercial buildings is not readily available, which results in a lack of focus on renovation"
Financial,Low priority on debt financing for investments in building renovation,"Commercial building owners have other investment options that are considered higher priority than building renovation, limiting their willingness to incur debt for renovation investments"
Financial,High project development and transaction costs,"Costs for energy auditing, identification of renovation options, and preparation of financing applications are perceived to be high."
Financial,Lack of dedicated credit lines or other financial instruments for energy efficiency,"While there are credit lines for financing energy efficiency projects in residential buildings, there are no such mechanisms for commercial buildings"
Market Capacity,Low interest in engaging ESCOs,"There are few examples of successful ESCO projects in the commercial buildings sector. The lack of documented ESCO experience, capabilities and success stories leads to a lack of credibility on the part of commercial decision-makers."
Market Capacity,Split incentives,"Interests of owners and renters not aligned due to the contract structures between building owners and renters. Owners are therefore reluctant to engage in energy efficiency projects where the benefits of reduced energy costs accrue to the renters"
