Policy / Measure,Expected Energy & GHG Impact,KPIs (annual),Indicative Funding / Enablers,Compliance / Notes
Non-residential MEPS — Phase 1 (worst cohort to minimum class F),High kWh/m² savings from bottom cohort; early MtCO₂ cuts via electrification/DH + Article-10 PV at roof works.,% of cohort achieving threshold; TWh saved; MtCO₂ cut; EPC class uplift distribution; PV capacity installed (MWp); Share with BACS/controls,"AFM (EE/RES lines), PNRR/REPowerEU windows, stated for SMEs/public, EIB frameworks; OSS TA vouchers.",EPC-based compliance; narrow exemptions; QA sampling; penalties per Art. 9(7).
Non-residential MEPS — Phase 2 (ratchet threshold),Additional TWh savings; deeper GHG reductions; market learning reduces costs.,Compliance rate vs deadline; Incremental TWh/MtCO₂; Audit pass rate; Cost per m²/kWh saved,Continuation of Phase-1 lines; tax allowances; ESCO models; green leases for split incentives.,Refine segmentation; maintain safeguards; publish compliance dashboards.
Residential trajectory — Stage 1 (G→F),Largest energy poverty relief; significant heat demand cuts; MtCO₂ reductions in gas/biomass areas.,Dwellings upgraded (no.); TWh saved & MtCO₂; Vulnerable households assisted (no.); Average bill reduction (RON/yr),"AFM Social/Heat & Solar Social, HOA lines with guarantees, municipal co-financing; OSS turnkey delivery.",No disproportionate exemptions for rentals; RP (passport) accepted for staged compliance.
Residential trajectory — Stage 2 (G/F→E),Further structural savings; comfort and IAQ gains.,"Compliance rate per tenure; EPC uplift histogram; Health/comfort indicators (IAQ, overheating)",Scale-up of Stage-1 lines; mortgage-linked incentives; utility on-bill recovery pilots.,Enhanced QA; contractor capacity plans; consumer protections active.
Owner engagement & identification,Enables timely compliance; reduces last-minute rush.,Pre-notices sent (no.); OSS cases opened/closed; Web portal visits; hotline use,MEPS portal; municipal outreach; cadastre/tax/EPC registry matching; data-sharing protocols.,Transparent notices; multilingual materials; privacy by design.
Compliance mechanism (EPC/alt. evidence),Assures real performance improvement; underpins credible reporting.,EPC issuance rate; Audit fail rate; Time-to-compliance,National EPC registry upgrades; auditor QA budgets; M&V guidance for allowed alternatives.,Alternative evidence restricted to approved sub-sectors; standardized methods only.
Enabling finance — Non-residential,Accelerates deep packages; de-risks SME/public investments.,Aid uptake (RON); €/kWh saved; Private co-finance leverage,Grants/loans; tax incentives; ESCO; guarantee schemes; Modernization Fund synergies for DH-connected sites.,Tie disbursement to commissioning & EPC; bonus for early/over-compliance.
Enabling finance — Residential (incl. vulnerable),Delivers equitable savings; reduces energy poverty.,Households supported (no.); Avg. grant (RON); Energy-burden drop (%),Higher aid intensities; pre-financing for HOAs; turnkey for vulnerable; social safeguards.,Condition funding on RP milestones; landlord-tenant fairness clauses.
Technical assistance & OSS,Increases quality and throughput; lowers soft costs.,TA cases solved (no.); Time from intent to works; Rework rate (%),County OSS network; design/procurement templates; standard contracts; engineering helpdesks.,KPIs tied to grant windows; publish TA SLAs and satisfaction.
Split-incentives solutions,Unlocks rentals/tertiary sectors.,Green leases signed (no.); Share of rented stock compliant,Model clauses; regulatory guidance; recognition in compliance audits.,Fair cost-benefit sharing; rent adjustment caps tied to measured gains.
Monitoring & penalties,Maintains program credibility; discourages free-riding.,Compliance rate by cohort; Penalties issued/collected; Repeat offenders (no.),Automated dashboards; audit budgets; legal support to municipalities.,Graduated penalties; right to appeal; publish anonymized stats.
Article-10 solar alignment,Boosts RES share; reduces delivered energy.,MWp installed via MEPS triggers; Share of roofs with PV readiness,AFM PV; fast-track permits; DSO simplified connections; car-park PV canopies.,Use Solar Design Statements; national suitability criteria.
DHC decarbonization alignment (EED Art. 26),GHG intensity falls for connected buildings; system losses down.,RES/waste heat share (%); gCO₂/kWh trend; DH losses (%),Modernization Fund; geothermal state aid; municipal rehab programs.,Choose Pathway A/B; require substation/return-temp targets.
Safeguards (Art. 17(19)),Protects vulnerable groups; ensures proportionality.,Safeguard cases (no.); Adjusted deadlines (no.); Appeals outcome,Dedicated grant lines; ombuds; staged plans via passports.,Documented criteria; transparent decisions; periodic review.
